City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,Bolobo,-2.1667,16.2333,92.25,34,100,3.11,CD,2022-01-30 15:21:51
271,Kattivakkam,13.2167,80.3167,80.08,78,61,10.54,IN,2022-01-30 15:21:51
272,Havoysund,70.9963,24.6622,31.08,63,100,16.93,NO,2022-01-30 15:21:52
273,Ambulu,-8.345,113.6058,77.41,90,100,2.21,ID,2022-01-30 15:21:58
274,Palaikastron,35.2,26.25,57.74,67,4,5.39,GR,2022-01-30 15:21:58
275,Launceston,-41.45,147.1667,62.8,87,100,3.0,AU,2022-01-30 15:21:59
276,Nalut,30.3333,10.85,56.07,33,0,12.03,LY,2022-01-30 15:22:00
277,Amapa,1.0,-52.0,83.03,66,89,4.65,BR,2022-01-30 15:22:00
278,Rundu,-17.9333,19.7667,70.63,81,100,5.37,NA,2022-01-30 15:22:00
279,Pristol,44.2247,22.7092,44.58,66,40,21.88,RO,2022-01-30 15:22:01
280,Iralaya,15.0,-83.2333,78.89,72,92,17.31,HN,2022-01-30 15:18:14
281,Savannah Bight,16.45,-85.85,72.0,68,100,22.53,HN,2022-01-30 15:22:02
282,Kiunga,-6.1219,141.2906,72.25,98,100,0.49,PG,2022-01-30 15:22:03
283,Venice,27.0998,-82.4543,49.08,31,0,12.66,US,2022-01-30 15:19:10
284,Broken Hill,-31.95,141.4333,83.16,52,89,4.79,AU,2022-01-30 15:22:04
285,Dwarka,22.2394,68.9678,70.86,69,0,9.08,IN,2022-01-30 15:22:04
286,Los Llanos De Aridane,28.6585,-17.9182,65.95,76,20,4.0,ES,2022-01-30 15:22:05
287,Saratov,51.5667,46.0333,31.82,77,88,1.99,RU,2022-01-30 15:22:06
288,Puerto Madero,14.7208,-92.4215,82.6,54,20,2.3,MX,2022-01-30 15:22:06
289,La Asuncion,11.0333,-63.8628,78.53,83,67,12.66,VE,2022-01-30 15:22:07
290,Kavieng,-2.5744,150.7967,81.1,76,89,3.33,PG,2022-01-30 15:22:07
291,Wenatchee,47.4235,-120.3103,28.8,82,100,0.0,US,2022-01-30 15:22:08
